City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
564,Wahiawa,US,82.72,overcast clouds,21.5028,-158.0236,Aloha Wahiawa
568,Manzanillo,CU,78.08,light rain,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
569,Caborca,MX,81.14,broken clouds,30.5838,-111.101,Hotel Los Lagos
570,Salinas,US,78.87,overcast clouds,36.6777,-121.6555,Laurel Inn & Conference Center
575,Oranjestad,AW,82.35,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
576,Jaisalmer,IN,82.18,few clouds,26.9147,70.9181,Hotel Fifu
579,Peace River,CA,84.49,broken clouds,56.2501,-117.286,BCMInns - Peace River
581,Shieli,KZ,89.35,clear sky,44.1667,66.75,Gostinitsa Aybek Shieli
583,Aden,YE,86.56,few clouds,12.7794,45.0367,Sama Emirate Hotel
584,Wewak,PG,82.81,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
586,Lumut,MY,81.21,broken clouds,4.2323,100.6298,"Marina Island Pangkor Resort & Hotel (Suites, Function Rooms and Convention Hall)"
588,Abnub,EG,85.12,clear sky,27.2696,31.1511,Romany Adly Gad
591,Touros,BR,76.1,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
593,Siloam Springs,US,75.92,few clouds,36.1881,-94.5405,Cherokee Hotel & Casino West Siloam Springs
595,Kushmurun,KZ,76.23,light rain,52.4503,64.6311,Gostinitsa Pri Depo
600,Houston,US,86.4,overcast clouds,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
602,Denpasar,ID,82.06,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
603,Porto Novo,BJ,76.17,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
608,Tiarei,PF,84.22,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
609,Oussouye,SN,77.25,overcast clouds,12.485,-16.5469,Auberge du Routard
611,Basco,PH,84.07,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
613,Almeirim,BR,76.24,overcast clouds,-1.5233,-52.5817,Ricácio Hotel
615,Kavaratti,IN,82.58,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
616,Labuhan,ID,82.31,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
622,Bardiyah,LY,82.04,clear sky,31.7561,25.0865,بورتو بردية
623,Mardin,TR,78.06,clear sky,37.3131,40.7436,Reyhani Kasri Hotel
625,Lakhisarai,IN,89.11,overcast clouds,25.1768,86.0932,Hotel DRS Deluxe
629,Tres Picos,MX,78.94,overcast clouds,15.8667,-93.5333,HOTEL TRES PICOS
637,Rudbar,AF,88.18,clear sky,30.15,62.6,
642,Jacqueville,CI,80.51,light rain,5.2052,-4.4146,Hotel Le Martin Pecheur
644,Dagana,MR,77.54,broken clouds,16.5165,-15.5068,Quartier Dille koumba fatim thiam
646,Vinh,VN,89.31,overcast clouds,18.6667,105.6667,Khách Sạn Thương Mại
648,Ca Mau,VN,89.98,broken clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
652,West Wendover,US,88.81,clear sky,40.7391,-114.0733,"Motel 6 Wendover, UT"
653,Ambon,ID,78.94,moderate rain,-3.6954,128.1814,Swiss-Belhotel Ambon
654,Mackenzie,CA,75.38,broken clouds,55.2999,-123.1698,Hilton Shop
656,Kilindoni,TZ,77.43,overcast clouds,-7.9139,39.6668,Bustani B&B
657,Kalia,BD,84.58,overcast clouds,23.0396,89.6328,সামিয়া এন্টারপ্রাইজ
658,Petit Goave,HT,82.58,overcast clouds,18.4314,-72.8669,Imperial Suite International
660,Hami,CN,85.73,few clouds,42.8,93.45,Laoyutang Resort
662,Nagato,JP,79.25,overcast clouds,34.3833,131.2,いそう庵
666,Havelock,US,81.01,scattered clouds,34.8791,-76.9013,Sherwood Motel
667,Ergani,TR,77.72,clear sky,38.2653,39.7621,Serkan Hotel
672,High Level,CA,82.69,clear sky,58.5169,-117.136,Days Inn by Wyndham High Level
